customer_id,country,gender,membership_tier,preferred_category,preferred_device,preferred_payment_method,acquisition_channel,age,total_orders,total_spend_usd,avg_order_value_usd,days_since_last_purchase,reviews_given,avg_review_score,returns_made,wishlist_items,newsletter_subscribed,customer_tenure_days,orders_per_year,reviews_per_order,returns_per_order,churned
C00034,Canada,Male,Silver,Clothing & Apparel,Desktop,UPI / Digital Wallet,Social Media,36,10,428.48,40.62,21,2,4.6,1,1,1,257,14.21206225680934,0.2,0.1,0
C00035,United States,Female,Silver,Toys & Games,Desktop,PayPal,Email Campaign,34,15,477.75,31.33,90,2,3.4,1,14,1,927,5.910194174757281,0.13333333333333333,0.06666666666666667,0
C00036,Brazil,Male,Silver,Home & Kitchen,Mobile,Credit Card,Social Media,24,5,698.38,123.63,54,1,3.8,0,6,0,30,60.875,0.2,0.0,0
C00037,India,Male,Platinum,Beauty & Personal Care,Desktop,Debit Card,Email Campaign,48,8,1005.04,146.36,4,1,4.5,0,18,1,472,6.190677966101695,0.125,0.0,0
C00038,United States,Male,Free,Beauty & Personal Care,Mobile,PayPal,Social Media,34,22,1107.07,58.01,79,8,4.7,2,1,0,32,251.109375,0.36363636363636365,0.09090909090909091,0
C00039,Canada,Male,Free,Clothing & Apparel,Mobile,Credit Card,Direct,55,16,2269.28,124.82,23,5,4.6,2,4,1,179,32.64804469273743,0.3125,0.125,0
C00040,India,Male,Free,Home & Kitchen,Tablet,PayPal,Paid Ad,32,28,2841.93,113.93,121,5,4.7,2,8,0,229,44.65938864628821,0.17857142857142858,0.07142857142857142,0
C00041,Brazil,Female,Free,Clothing & Apparel,Desktop,Credit Card,Social Media,41,25,1245.31,50.63,105,7,4.9,2,17,1,393,23.234732824427482,0.28,0.08,0
C00042,India,Female,Free,Jewelry & Accessories,Mobile,Credit Card,Social Media,40,4,253.36,74.17,32,0,3.7,0,6,1,1436,1.017409470752089,0.0,0.0,0
C00043,United Kingdom,Female,Free,Sports & Outdoors,Mobile,Bank Transfer,Email Campaign,32,2,283.73,126.66,8,0,2.8,0,0,0,290,2.5189655172413796,0.0,0.0,0
C00044,United States,Male,Free,Food & Grocery,Desktop,PayPal,Social Media,56,18,1184.28,57.63,154,2,2.8,0,1,0,374,17.578877005347596,0.1111111111111111,0.0,0
C00045,South Korea,Female,Free,Home & Kitchen,Mobile,Credit Card,Social Media,25,25,4860.47,202.18,24,9,4.4,1,3,1,678,13.4679203539823,0.36,0.04,0
C00046,Japan,Female,Platinum,Books,Desktop,Debit Card,Email Campaign,53,1,414.12,472.59,63,0,4.5,0,6,0,1337,0.2731862378459237,0.0,0.0,0
C00047,United States,Female,Silver,Books,Mobile,Cryptocurrency,Email Campaign,36,60,3223.01,62.09,85,23,3.2,1,3,1,792,27.670454545454543,0.38333333333333336,0.016666666666666666,0
C00048,Netherlands,Female,Free,Home & Kitchen,Mobile,Credit Card,Paid Ad,48,14,4159.74,287.88,25,0,3.5,1,9,1,2304,2.2194010416666665,0.0,0.07142857142857142,0
C00049,Canada,Male,Free,Electronics,Mobile,Credit Card,Direct,32,44,2982.35,76.35,50,5,4.4,4,10,1,429,37.46153846153846,0.11363636363636363,0.09090909090909091,0
C00050,Canada,Male,Free,Electronics,Desktop,PayPal,Social Media,46,47,1253.78,25.41,56,17,4.6,6,2,1,1371,12.521334792122538,0.3617021276595745,0.1276595744680851,0
C00051,United Kingdom,Male,Free,Travel & Luggage,Tablet,Debit Card,Social Media,18,12,3850.34,334.98,210,1,3.2,0,4,0,579,7.569948186528498,0.08333333333333333,0.0,1
C00052,Germany,Male,Silver,Food & Grocery,Desktop,Credit Card,Paid Ad,20,15,1060.97,81.51,4,2,3.5,0,0,1,336,16.305803571428573,0.13333333333333333,0.0,0
C00053,Brazil,Female,Free,Pet Supplies,Desktop,Credit Card,Organic Search,24,21,5401.99,224.1,73,5,3.6,1,2,1,1579,4.857663077897404,0.23809523809523808,0.047619047619047616,0
C00054,Japan,Female,Gold,Books,Mobile,Credit Card,Direct,24,14,3678.83,308.69,409,3,3.9,1,5,1,35,146.1,0.21428571428571427,0.07142857142857142,0
C00055,Mexico,Female,Free,Beauty & Personal Care,Mobile,Credit Card,Paid Ad,18,9,983.09,124.07,46,1,4.3,0,8,1,1475,2.2286440677966097,0.1111111111111111,0.0,0
C00056,Germany,Male,Free,Electronics,Tablet,Debit Card,Email Campaign,27,22,1571.63,72.69,40,5,4.7,0,8,1,314,25.59076433121019,0.22727272727272727,0.0,0
C00057,United States,Female,Free,Books,Mobile,Debit Card,Email Campaign,43,6,393.57,59.43,4,0,4.4,0,0,0,524,4.182251908396947,0.0,0.0,0
C00058,Poland,Male,Silver,Clothing & Apparel,Mobile,Buy Now Pay Later,Email Campaign,57,11,1893.43,161.39,18,3,4.7,1,12,1,77,52.17857142857142,0.2727272727272727,0.09090909090909091,0
C00059,United States,Male,Free,Books,Mobile,Credit Card,Direct,42,58,39377.86,746.33,78,11,4.6,2,2,0,11,1925.8636363636363,0.1896551724137931,0.034482758620689655,1
C00060,Australia,Male,Free,Home & Kitchen,Mobile,PayPal,Email Campaign,28,13,547.19,49.39,111,4,4.8,1,8,1,411,11.552919708029197,0.3076923076923077,0.07692307692307693,0
C00061,Germany,Female,Free,Electronics,Mobile,Credit Card,Social Media,38,6,273.95,44.32,42,2,4.6,0,6,0,123,17.817073170731707,0.3333333333333333,0.0,0
C00062,Germany,Male,Gold,Books,Mobile,Credit Card,Organic Search,37,3,159.85,58.76,0,0,3.6,0,6,1,57,19.223684210526315,0.0,0.0,0
C00063,India,Male,Free,Food & Grocery,Tablet,Credit Card,Organic Search,29,17,1260.84,70.83,5,5,3.5,2,5,1,15,413.95000000000005,0.29411764705882354,0.11764705882352941,0
C00064,United States,Male,Free,Health & Wellness,Mobile,Bank Transfer,Email Campaign,54,17,805.2,41.56,201,5,4.9,1,9,0,1111,5.588883888388839,0.29411764705882354,0.058823529411764705,0
C00065,Brazil,Male,Free,Electronics,Desktop,Credit Card,Paid Ad,32,7,247.71,33.51,66,2,4.4,1,10,1,387,6.606589147286822,0.2857142857142857,0.14285714285714285,0
C00066,United Kingdom,Male,Silver,Sports & Outdoors,Mobile,PayPal,Organic Search,48,2,77.86,39.67,3,0,4.2,0,4,1,27,27.055555555555557,0.0,0.0,0
C00067,United States,Female,Silver,Office Supplies,Desktop,Buy Now Pay Later,Email Campaign,43,1,115.9,134.77,3,0,4.3,0,2,1,226,1.616150442477876,0.0,0.0,1
C00068,Germany,Male,Silver,Books,Mobile,Credit Card,Email Campaign,26,2,130.28,59.17,143,0,4.3,0,0,0,162,4.509259259259259,0.0,0.0,0
C00069,Poland,Male,Gold,Books,Mobile,Credit Card,Social Media,24,31,1488.43,53.41,106,6,4.6,1,2,1,453,24.99503311258278,0.1935483870967742,0.03225806451612903,0
C00070,United States,Male,Silver,Pet Supplies,Mobile,UPI / Digital Wallet,Email Campaign,54,8,320.0,43.06,22,1,3.5,0,7,0,495,5.903030303030302,0.125,0.0,0
C00071,United States,Male,Free,Clothing & Apparel,Mobile,Credit Card,Paid Ad,18,10,457.24,45.18,22,3,4.7,0,0,1,488,7.484631147540984,0.3,0.0,0
C00072,Singapore,Female,Free,Food & Grocery,Mobile,PayPal,Organic Search,32,19,213.44,11.05,2,5,4.4,2,8,0,311,22.314308681672024,0.2631578947368421,0.10526315789473684,0
C00073,India,Female,Free,Clothing & Apparel,Mobile,Buy Now Pay Later,Direct,28,51,9464.37,189.45,134,15,4.1,0,0,1,568,32.79533450704225,0.29411764705882354,0.0,1
C00074,UAE,Female,Silver,Food & Grocery,Desktop,UPI / Digital Wallet,Paid Ad,24,40,5413.15,137.48,13,5,4.0,5,0,0,13,1123.8461538461538,0.125,0.125,0
C00075,South Africa,Female,Free,Automotive,Mobile,Credit Card,Email Campaign,30,6,240.98,42.7,40,1,4.5,0,0,0,787,2.784625158831004,0.16666666666666666,0.0,0
C00076,India,Male,Free,Clothing & Apparel,Mobile,Debit Card,Paid Ad,18,14,1342.04,83.44,77,4,4.5,0,3,0,1093,4.678408051235133,0.2857142857142857,0.0,0
C00077,India,Male,Free,Electronics,Desktop,Debit Card,Referral,38,12,5661.94,453.76,40,3,3.6,1,6,0,1225,3.5779591836734697,0.25,0.08333333333333333,0
C00078,Australia,Female,Free,Pet Supplies,Mobile,PayPal,Paid Ad,30,66,5642.19,100.38,127,9,3.9,3,5,1,46,524.054347826087,0.13636363636363635,0.045454545454545456,0
C00079,Japan,Male,Platinum,Home & Kitchen,Tablet,Debit Card,Social Media,27,19,4010.12,211.07,20,4,2.6,1,0,1,95,73.05,0.21052631578947367,0.05263157894736842,0
C00080,Germany,Female,Gold,Toys & Games,Desktop,Credit Card,Paid Ad,43,28,2007.54,77.85,46,5,4.5,1,4,1,1858,5.5043057050592035,0.17857142857142858,0.03571428571428571,0
C00081,United States,Female,Free,Beauty & Personal Care,Mobile,Credit Card,Social Media,37,12,3227.66,253.99,96,2,3.6,1,1,1,1516,2.8911609498680737,0.16666666666666666,0.08333333333333333,1
C00082,Singapore,Male,Free,Sports & Outdoors,Mobile,Buy Now Pay Later,Email Campaign,25,8,1928.78,235.38,99,0,4.4,0,2,0,417,7.0071942446043165,0.0,0.0,0
C00083,Canada,Female,Silver,Clothing & Apparel,Desktop,PayPal,Direct,56,11,1318.05,140.18,27,3,3.4,0,0,1,1237,3.247978981406629,0.2727272727272727,0.0,0
C00084,Brazil,Other,Free,Beauty & Personal Care,Tablet,Debit Card,Paid Ad,30,29,4289.42,130.78,143,11,4.6,1,21,0,179,59.17458100558659,0.3793103448275862,0.034482758620689655,0
C00085,United States,Male,Free,Sports & Outdoors,Desktop,Debit Card,Paid Ad,33,62,4792.34,68.26,16,16,4.5,4,2,1,325,69.67846153846153,0.25806451612903225,0.06451612903225806,0
C00086,Netherlands,Female,Silver,Pet Supplies,Mobile,Credit Card,Paid Ad,18,12,164.64,14.44,8,3,4.5,0,2,0,15,292.2,0.25,0.0,0
C00087,Poland,Male,Gold,Electronics,Mobile,PayPal,Organic Search,29,17,4449.34,242.01,45,2,4.1,1,11,1,332,18.702560240963855,0.11764705882352941,0.058823529411764705,0
C00088,France,Male,Free,Clothing & Apparel,Tablet,Debit Card,Referral,50,4,173.32,39.55,143,0,4.9,0,1,1,318,4.59433962264151,0.0,0.0,0
C00089,United Kingdom,Male,Silver,Clothing & Apparel,Tablet,Debit Card,Paid Ad,39,31,1453.35,52.71,15,9,4.1,3,2,1,458,24.7221615720524,0.2903225806451613,0.0967741935483871,0
C00090,United States,Male,Free,Home & Kitchen,Mobile,Credit Card,Email Campaign,32,15,2869.73,182.89,83,3,4.0,0,3,1,480,11.4140625,0.2,0.0,0
C00091,Singapore,Male,Free,Travel & Luggage,Desktop,UPI / Digital Wallet,Organic Search,24,35,3731.26,95.32,39,7,4.7,0,0,1,486,26.304012345679013,0.2,0.0,0
C00092,India,Male,Free,Beauty & Personal Care,Tablet,Credit Card,Organic Search,28,15,696.36,51.69,12,0,4.4,1,3,1,65,84.28846153846155,0.0,0.06666666666666667,0
C00093,Singapore,Male,Free,Travel & Luggage,Tablet,Credit Card,Paid Ad,36,2,82.39,44.47,31,0,4.2,0,1,0,636,1.1485849056603774,0.0,0.0,0
C00094,United States,Male,Free,Food & Grocery,Desktop,Credit Card,Email Campaign,49,39,2717.38,66.79,45,12,3.7,0,9,0,3608,3.9481014412416853,0.3076923076923077,0.0,0
C00095,United Kingdom,Male,Silver,Beauty & Personal Care,Mobile,Credit Card,Social Media,24,42,1637.41,43.67,17,3,3.9,4,0,0,1308,11.728211009174313,0.07142857142857142,0.09523809523809523,0
C00096,United States,Male,Gold,Electronics,Desktop,Credit Card,Organic Search,35,7,1676.89,254.5,15,0,2.9,0,4,1,352,7.263494318181818,0.0,0.0,0
C00097,Turkey,Male,Gold,Travel & Luggage,Mobile,Credit Card,Organic Search,20,2,460.3,204.38,13,0,3.6,0,0,1,31,23.564516129032256,0.0,0.0,0
C00098,Brazil,Female,Free,Home & Kitchen,Mobile,PayPal,Paid Ad,43,36,1705.52,54.0,44,4,4.9,1,0,0,127,103.53543307086615,0.1111111111111111,0.027777777777777776,0
C00099,Germany,Female,Free,Electronics,Desktop,Credit Card,Direct,56,13,1370.45,98.24,38,3,4.5,0,0,0,218,21.78096330275229,0.23076923076923078,0.0,0
C00100,Japan,Male,Free,Electronics,Desktop,UPI / Digital Wallet,Organic Search,51,8,1012.16,123.13,19,1,3.8,0,2,0,115,25.408695652173915,0.125,0.0,0
C00101,France,Male,Free,Electronics,Desktop,Buy Now Pay Later,Email Campaign,36,7,816.53,116.86,111,2,4.9,0,0,0,13,196.6730769230769,0.2857142857142857,0.0,0
C00102,Japan,Male,Free,Home & Kitchen,Mobile,PayPal,Organic Search,50,41,3856.68,83.13,189,15,4.5,0,10,1,488,30.686987704918035,0.36585365853658536,0.0,1
C00103,France,Female,Free,Jewelry & Accessories,Desktop,PayPal,Direct,42,1,37.52,42.0,20,0,4.0,0,0,0,25,14.610000000000001,0.0,0.0,0
C00104,India,Male,Free,Books,Desktop,UPI / Digital Wallet,Organic Search,37,12,2786.04,215.38,29,2,4.5,0,0,1,212,20.67452830188679,0.16666666666666666,0.0,0
C00105,United States,Male,Gold,Electronics,Mobile,Credit Card,Social Media,33,12,929.0,86.72,10,1,4.8,0,3,0,63,69.57142857142857,0.08333333333333333,0.0,0
C00106,United Kingdom,Other,Platinum,Food & Grocery,Mobile,Credit Card,Organic Search,39,14,811.73,52.5,54,5,4.7,0,1,0,766,6.675587467362924,0.35714285714285715,0.0,0
C00107,India,Male,Free,Automotive,Desktop,UPI / Digital Wallet,Paid Ad,55,9,186.65,18.4,31,0,4.0,0,4,0,28,117.40178571428572,0.0,0.0,0
C00108,Canada,Male,Silver,Health & Wellness,Desktop,Debit Card,Organic Search,40,15,373.47,24.3,76,0,3.9,2,8,1,197,27.810913705583758,0.0,0.13333333333333333,0
C00109,United States,Female,Free,Electronics,Mobile,PayPal,Organic Search,37,33,1300.52,40.86,81,12,3.1,3,6,0,12,1004.4375,0.36363636363636365,0.09090909090909091,0
C00110,South Africa,Female,Free,Electronics,Desktop,Credit Card,Paid Ad,43,27,1460.98,49.89,18,2,4.9,3,1,0,733,13.453956343792633,0.07407407407407407,0.1111111111111111,0
C00111,Germany,Female,Gold,Clothing & Apparel,Mobile,PayPal,Referral,29,37,4169.45,105.3,15,9,4.3,3,11,1,91,148.50824175824175,0.24324324324324326,0.08108108108108109,0
C00112,Netherlands,Male,Platinum,Sports & Outdoors,Mobile,Credit Card,Email Campaign,45,16,2326.85,131.74,30,4,4.1,0,0,0,22,265.6363636363636,0.25,0.0,0
C00113,France,Male,Free,Food & Grocery,Mobile,UPI / Digital Wallet,Organic Search,34,10,577.28,65.66,15,2,3.5,1,14,1,592,6.169763513513514,0.2,0.1,0
C00114,United States,Female,Silver,Electronics,Desktop,PayPal,Referral,62,16,1890.39,119.69,23,1,3.8,0,5,0,893,6.5442329227323635,0.0625,0.0,0
C00115,Spain,Female,Free,Beauty & Personal Care,Tablet,Bank Transfer,Email Campaign,25,6,258.09,42.09,12,0,4.6,0,3,1,394,5.562182741116752,0.0,0.0,0
C00116,Canada,Male,Free,Beauty & Personal Care,Mobile,Debit Card,Referral,25,14,2846.68,195.4,39,4,3.8,1,25,0,1357,3.7682387619749447,0.2857142857142857,0.07142857142857142,0
C00117,Japan,Female,Free,Clothing & Apparel,Mobile,Credit Card,Paid Ad,44,42,6455.78,178.6,102,7,4.7,2,2,0,2508,6.116626794258374,0.16666666666666666,0.047619047619047616,0
C00118,Germany,Female,Free,Travel & Luggage,Mobile,Debit Card,Email Campaign,56,17,2601.22,146.0,13,2,3.2,0,5,1,803,7.732565379825655,0.11764705882352941,0.0,0
C00119,India,Male,Silver,Beauty & Personal Care,Mobile,PayPal,Email Campaign,28,11,869.11,76.28,25,3,4.6,0,4,1,916,4.386189956331878,0.2727272727272727,0.0,0
C00120,Germany,Male,Free,Health & Wellness,Tablet,UPI / Digital Wallet,Social Media,33,50,2032.31,44.28,40,10,3.6,6,3,0,756,24.15674603174603,0.2,0.12,0
C00121,Italy,Other,Gold,Food & Grocery,Desktop,UPI / Digital Wallet,Social Media,45,10,382.25,36.1,29,1,4.5,0,4,1,1529,2.3888162197514715,0.1,0.0,0
C00122,India,Female,Free,Electronics,Mobile,Credit Card,Paid Ad,38,15,1875.16,130.03,2,2,4.0,1,4,1,516,10.617732558139535,0.13333333333333333,0.06666666666666667,0
C00123,Mexico,Male,Silver,Food & Grocery,Desktop,Credit Card,Social Media,32,8,721.89,85.14,51,1,4.5,0,12,1,1636,1.7860635696821514,0.125,0.0,0
C00124,United Kingdom,Male,Free,Health & Wellness,Mobile,Credit Card,Referral,48,30,3159.53,122.96,35,10,3.6,2,6,1,144,76.09375,0.3333333333333333,0.06666666666666667,1
C00125,United States,Male,Silver,Toys & Games,Desktop,Credit Card,Social Media,27,43,5669.89,115.18,29,11,4.1,3,7,1,689,22.79499274310595,0.2558139534883721,0.06976744186046512,0
C00126,Brazil,Male,Gold,Books,Mobile,Debit Card,Email Campaign,34,76,8822.63,123.64,63,13,3.8,5,2,0,388,71.54381443298969,0.17105263157894737,0.06578947368421052,0
C00127,United Kingdom,Female,Free,Sports & Outdoors,Tablet,Bank Transfer,Organic Search,37,4,520.09,130.07,8,0,4.1,0,5,1,582,2.5103092783505154,0.0,0.0,0
C00128,United States,Male,Silver,Electronics,Desktop,UPI / Digital Wallet,Paid Ad,74,11,483.87,38.74,5,1,4.7,1,1,1,1545,2.6004854368932038,0.09090909090909091,0.09090909090909091,0
C00129,Germany,Female,Free,Toys & Games,Mobile,Debit Card,Paid Ad,26,39,694.63,16.91,41,4,4.6,2,3,0,105,135.6642857142857,0.10256410256410256,0.05128205128205128,0
C00130,Brazil,Male,Free,Electronics,Mobile,Credit Card,Direct,26,10,678.54,76.44,28,1,3.7,0,6,0,90,40.583333333333336,0.1,0.0,0
C00131,United States,Male,Free,Home & Kitchen,Mobile,Debit Card,Social Media,44,12,1427.33,116.66,63,2,4.5,1,5,1,1731,2.532062391681109,0.16666666666666666,0.08333333333333333,1
C00132,South Africa,Male,Free,Electronics,Tablet,Debit Card,Organic Search,36,2,38.33,19.8,15,0,4.5,0,6,1,195,3.7461538461538457,0.0,0.0,1
C00133,United Kingdom,Female,Platinum,Home & Kitchen,Tablet,Buy Now Pay Later,Social Media,28,6,345.7,59.37,34,0,4.0,0,3,1,1087,2.0160993560257587,0.0,0.0,0
C00134,Spain,Male,Free,Sports & Outdoors,Mobile,Buy Now Pay Later,Organic Search,35,1,54.57,60.2,62,0,4.7,0,4,1,550,0.6640909090909091,0.0,0.0,0
C00135,Canada,Male,Gold,Electronics,Mobile,Credit Card,Organic Search,44,16,527.49,38.37,74,5,4.2,2,1,0,587,9.955706984667803,0.3125,0.125,0
C00136,Australia,Male,Silver,Home & Kitchen,Mobile,Credit Card,Direct,49,21,617.56,34.42,221,6,4.1,2,0,1,364,21.072115384615383,0.2857142857142857,0.09523809523809523,1
C00137,United States,Female,Free,Food & Grocery,Desktop,Credit Card,Direct,47,18,1108.79,68.25,18,3,4.4,0,7,1,313,21.004792332268373,0.16666666666666666,0.0,1
C00138,United States,Female,Gold,Sports & Outdoors,Tablet,Debit Card,Social Media,18,6,930.46,161.77,16,1,4.1,0,6,1,558,3.9274193548387095,0.16666666666666666,0.0,0
C00139,Canada,Male,Free,Electronics,Mobile,Credit Card,Organic Search,32,11,949.0,85.31,36,1,3.3,0,6,1,928,4.329471982758621,0.09090909090909091,0.0,0
C00140,United States,Male,Free,Books,Mobile,UPI / Digital Wallet,Email Campaign,32,14,1381.13,107.62,168,3,3.7,1,10,1,1432,3.5708798882681565,0.21428571428571427,0.07142857142857142,0
C00141,Canada,Male,Free,Electronics,Desktop,Credit Card,Social Media,51,37,3673.39,92.14,40,3,4.2,1,3,1,268,50.42630597014925,0.08108108108108109,0.02702702702702703,0
C00142,United Kingdom,Male,Silver,Clothing & Apparel,Desktop,Credit Card,Email Campaign,37,17,3393.8,184.11,1,5,4.9,2,3,0,123,50.48170731707317,0.29411764705882354,0.11764705882352941,0
C00143,Germany,Male,Free,Health & Wellness,Desktop,PayPal,Direct,44,2,209.56,112.16,16,0,3.9,0,5,1,1032,0.7078488372093023,0.0,0.0,1
C00144,United States,Female,Platinum,Food & Grocery,Desktop,Debit Card,Email Campaign,18,5,644.63,133.94,71,1,4.3,0,5,0,391,4.670716112531969,0.2,0.0,0
C00145,France,Male,Free,Pet Supplies,Tablet,Credit Card,Organic Search,29,10,150.86,13.95,19,0,4.5,0,1,1,835,4.374251497005988,0.0,0.0,0
C00146,United States,Female,Free,Clothing & Apparel,Desktop,Credit Card,Organic Search,43,10,1210.93,116.81,1,3,3.8,1,4,1,189,19.325396825396826,0.3,0.1,0
C00147,United States,Female,Silver,Books,Desktop,PayPal,Organic Search,42,35,13804.4,460.3,86,8,4.2,4,7,0,1799,7.106031128404669,0.22857142857142856,0.11428571428571428,0
C00148,South Korea,Female,Free,Health & Wellness,Mobile,Debit Card,Direct,18,7,802.58,133.93,27,1,4.2,0,4,0,553,4.6234177215189876,0.14285714285714285,0.0,0
C00149,Germany,Female,Free,Books,Mobile,PayPal,Email Campaign,28,13,404.06,34.73,153,2,4.0,0,1,1,1241,3.8261482675261886,0.15384615384615385,0.0,0
C00150,Brazil,Female,Free,Electronics,Mobile,Credit Card,Paid Ad,44,4,230.79,55.77,10,0,3.4,0,4,0,24,60.875,0.0,0.0,0
